X..Gene.Family	test_data_Abundance.RPKs
UniRef90_A0A074TXZ1	19.3402989825
UniRef90_A0A074TXZ1|unclassified	19.3402989825
UniRef90_A0A074TY11	75.8195804789
UniRef90_A0A074TY11|unclassified	75.8195804789
UniRef90_A0A074TY19	53.2908382934
UniRef90_A0A074TY19|unclassified	53.2908382934
UniRef90_A0A074TY32	21.1273551571
UniRef90_A0A074TY32|unclassified	21.1273551571
UniRef90_A0A074TY40	29.2417747081
UniRef90_A0A074TY40|unclassified	29.2417747081
UniRef90_A0A074TY85	1.6233766234
UniRef90_A0A074TY85|unclassified	1.6233766234
UniRef90_A0A074TYB4	2.8015727465
UniRef90_A0A074TYB4|unclassified	2.8015727465
UniRef90_A0A074TYF8	18.7091936581
UniRef90_A0A074TYF8|unclassified	18.7091936581
UniRef90_A0A074TYM7	5.8139534884
UniRef90_A0A074TYM7|unclassified	5.8139534884
UniRef90_A0A074TYQ9	9.9804585396
UniRef90_A0A074TYQ9|unclassified	9.9804585396
UniRef90_A0A074TZD7	18.1682258683
UniRef90_A0A074TZD7|unclassified	18.1682258683
UniRef90_A0A074UB13	38.2890339612
UniRef90_A0A074UB13|unclassified	38.2890339612
UniRef90_A0A074UB51	10.9117594246
UniRef90_A0A074UB51|unclassified	10.9117594246
UniRef90_A0A074UB61	15.9909588356
UniRef90_A0A074UB61|unclassified	15.9909588356
UniRef90_A0A074UB86	14.4327795289
UniRef90_A0A074UB86|unclassified	14.4327795289
UniRef90_A0A074UBB8	0
UniRef90_A0A074UBB8|unclassified	0
UniRef90_A0A074UBF9	17.0528839537
UniRef90_A0A074UBF9|unclassified	17.0528839537
UniRef90_A0A074UBI3	20.1526995905
UniRef90_A0A074UBI3|unclassified	20.1526995905
UniRef90_A0A074UBI9	11.0128042620
UniRef90_A0A074UBI9|unclassified	11.0128042620
UniRef90_A0A074UBU0	26.8820406126
UniRef90_A0A074UBU0|unclassified	26.8820406126
UniRef90_A0A074UBV6	32.6399580105
UniRef90_A0A074UBV6|unclassified	32.6399580105
UniRef90_A0A074UBX0	0
UniRef90_A0A074UBX0|unclassified	0
UniRef90_A0A074UE52	10.4919266557
UniRef90_A0A074UE52|unclassified	10.4919266557
UniRef90_A0A074UED3	7.6174272574
UniRef90_A0A074UED3|unclassified	7.6174272574
UniRef90_A0A074UEH6	77.6024540069
UniRef90_A0A074UEH6|unclassified	77.6024540069
UniRef90_A0A074UEI1	9.2975998773
UniRef90_A0A074UEI1|unclassified	9.2975998773
UniRef90_A0A074UEJ9	0
UniRef90_A0A074UEJ9|unclassified	0
UniRef90_A0A074UEL6	28.8377106523
UniRef90_A0A074UEL6|unclassified	28.8377106523
UniRef90_A0A074UEW8	32.5341473299
UniRef90_A0A074UEW8|unclassified	32.5341473299
UniRef90_A0A074UEZ5	32.2024398700
UniRef90_A0A074UEZ5|unclassified	32.2024398700
UniRef90_A0A074UF73	41.7656996648
UniRef90_A0A074UF73|unclassified	41.7656996648
UniRef90_A0A074UFA7	0
UniRef90_A0A074UFA7|unclassified	0
UniRef90_A0A074UFB0	18.9616053411
UniRef90_A0A074UFB0|unclassified	18.9616053411
UniRef90_A0A074UFB3	79.7588460740
UniRef90_A0A074UFB3|unclassified	79.7588460740
UniRef90_A0A074UFC2	0
UniRef90_A0A074UFC2|unclassified	0
UniRef90_A0A074UFG3	14.1038670002
UniRef90_A0A074UFG3|unclassified	14.1038670002
UniRef90_A0A074UFH2	82.3261023693
UniRef90_A0A074UFH2|unclassified	82.3261023693
UniRef90_A0A074UFM4	10.1555003528
UniRef90_A0A074UFM4|unclassified	10.1555003528
UniRef90_A0A074UFN5	1.9216757505
UniRef90_A0A074UFN5|unclassified	1.9216757505
