Organism	GF_CC1	GF_CC2	GF_CC3	GF_CC4	GF_CC5	GF_CN1	GF_CN2	GF_CN3	GF_CN4	GF_CN5	GF_CR1	GF_CR2	GF_CR3	GF_CR4	GF_CR5	GF_PF1	GF_PF2	GF_PF3	SA_CC2	SA_CC5	SA_CN1	SA_CN2	SA_CN3	SA_CN4	SA_CN5	SA_CR1	SA_CR2	SA_CR3	SA_CR4	SA_CR5	SA_PF1	SA_PF2	SA_PF3	SA_PF4	SA_PF5
HOC36	0.0	0.0	0.0	0.0	0.000142	0.017761	0.039216	0.025149	0.027991	0.019608	0.0	0.0	0.0	0.0	0.0	0.00341	0.002131	0.001279	0.000142	0.002842	0.022307	0.032396	0.040637	0.02657	0.031117	0.0	0.0	0.0	0.0	0.0	0.001989	0.002558	0.004405	0.002273	0.006536
JGI 0000069-P22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003978	0.0	0.005968	0.009093	0.0
JTB23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058397	0.023728	0.014635	0.015487	0.017761	0.001421	0.002984	0.001137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022592	0.021739	0.020602	0.022023	0.022307	0.003978	0.002131	0.0027	0.006252	0.001847
KI89A clade	0.0	0.0	0.0	0.000426	0.0	0.023586	0.039642	0.026428	0.044899	0.040068	0.049872	0.027565	0.01705	0.035521	0.030122	0.015061	0.015061	0.011225	0.0	0.0	0.047883	0.043762	0.045752	0.05584	0.039926	0.033532	0.032396	0.033959	0.035095	0.036516	0.011225	0.028843	0.018187	0.018755	0.033674
Kingdom_Bacteria	0.000142	0.001421	0.002842	0.001421	0.0	0.000995	0.001989	0.0027	0.0027	0.002415	0.007531	0.009378	0.010372	0.010088	0.007246	0.052572	0.021739	0.030548	0.003694	0.002842	0.000568	0.001137	0.001421	0.001705	0.001705	0.005968	0.005826	0.004689	0.006962	0.010372	0.030548	0.030975	0.01975	0.027849	0.009804
Leptospirales	0.000568	0.000284	0.0	0.0	0.000142	0.000142	0.000284	0.001421	0.000995	0.000995	0.0	0.0	0.0	0.000284	0.0	0.0	0.0	0.0	0.000995	0.000995	0.000142	0.000142	0.0	0.00071	0.000426	0.0	0.0	0.002131	0.00412	0.0	0.0	0.0	0.0	0.0	0.0
MBAE14	0.000568	0.001279	0.005683	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microtrichales	0.0	0.0	0.0	0.0	0.0	0.020745	0.024013	0.016056	0.02657	0.020745	0.044899	0.026712	0.017903	0.026854	0.007531	0.035237	0.034527	0.057971	0.004973	0.000853	0.016908	0.02316	0.032964	0.025718	0.036374	0.024439	0.030264	0.039216	0.03268	0.030264	0.045894	0.051151	0.04973	0.045467	0.047599
Myxococcales	0.0	0.0	0.0	0.0	0.0	0.014777	0.016198	0.013356	0.02657	0.016766	0.054419	0.084825	0.065217	0.073032	0.063939	0.000284	0.003694	0.000426	0.0	0.000142	0.008241	0.01364	0.02046	0.010799	0.010941	0.057829	0.060386	0.060813	0.061097	0.058113	0.000995	0.000142	0.001705	0.002415	0.001421
NB1-j	0.0	0.00412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003552	0.0	0.001847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000568	0.000426	0.002415	0.000142
Nitrosococcales	0.0	0.0	0.0	0.0	0.0	0.003268	0.002273	0.002984	0.002273	0.002131	0.090793	0.1158	0.11921	0.121625	0.100455	0.000853	0.005968	0.000568	0.0	0.0	0.003552	0.00412	0.001279	0.001705	0.004831	0.102444	0.081131	0.077437	0.071895	0.077721	0.000142	0.000426	0.001989	0.001279	0.002558
Nitrosopumilales	0.0	0.0	0.0	0.0	0.0	0.001989	0.002415	0.001279	0.002984	0.001847	0.005257	0.009236	0.005115	0.004831	0.004689	0.011509	0.00341	0.003126	0.0	0.0	0.001279	0.001421	0.005115	0.004263	0.002558	0.003268	0.002842	0.00412	0.00412	0.005399	0.003978	0.005257	0.003694	0.003126	0.014635
Nitrospirales	0.000995	0.0	0.0	0.0	0.0	0.007673	0.024155	0.010088	0.01293	0.00412	0.02927	0.021597	0.014066	0.023444	0.026854	0.016766	0.012646	0.007673	0.001137	0.000995	0.010799	0.020034	0.017477	0.013782	0.01634	0.007104	0.009804	0.007246	0.012077	0.009378	0.025433	0.010656	0.018897	0.007246	0.006536
OPB56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004263	0.022165	0.009236	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001705	0.00071	0.011509	0.008099	0.003836
Oceanospirillales	0.007815	0.01293	0.014635	0.010656	0.044899	0.074027	0.052145	0.063654	0.05314	0.054987	0.071753	0.005826	0.021313	0.002131	0.097471	0.000284	0.001421	0.000142	0.005115	0.005826	0.048451	0.099744	0.045894	0.058255	0.067065	0.001279	0.005968	0.000568	0.003694	0.001137	0.00071	0.0	0.001279	0.003836	0.002273
Oligoflexales	0.0	0.0	0.0	0.0	0.0	0.050156	0.013356	0.025149	0.027138	0.060671	0.0	0.0	0.000426	0.0	0.001137	0.0	0.0	0.0	0.0	0.0	0.075021	0.009804	0.025718	0.024581	0.006536	0.000568	0.0	0.0	0.0	0.000142	0.0	0.0	0.0	0.0	0.0
Opitutales	0.0	0.00071	0.0	0.000568	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001989	0.000995	0.001279	0.0	0.000284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002273	0.005683	0.004831	0.001847	0.002131
Paracaedibacterales	0.000426	0.0	0.000284	0.0	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00071	0.002558	0.000142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000142	0.000142	0.0	0.0	0.0
Parvibaculales	0.001279	0.014919	0.001989	0.000284	0.000426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001989	0.001279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
